category_name,date,YEARS,MONTHS,Total_value
STRAIGHT RYE WHISKIES,2021-05-20,2021,5,12229.12
STRAIGHT RYE WHISKIES,2021-11-12,2021,11,12228.66
SINGLE BARREL BOURBON WHISKIES,2021-11-12,2021,11,12227.74
AMERICAN CORDIALS & LIQUEURS,2021-01-15,2021,1,12225.36
AMERICAN DRY GINS,2021-03-12,2021,3,12224.44
TEMPORARY & SPECIALTY PACKAGES,2023-05-15,2023,5,12222.67
AGED DARK RUM,2021-10-07,2021,10,12219.99
SINGLE MALT SCOTCH,2022-08-22,2022,8,12217.04
AMERICAN DRY GINS,2023-06-30,2023,6,12215.11
COCKTAILS/RTD,2022-02-25,2022,2,12214.2
NEUTRAL GRAIN SPIRITS FLAVORED,2022-05-24,2022,5,12213.1
AMERICAN DRY GINS,2023-11-06,2023,11,12213.09
SINGLE MALT SCOTCH,2023-03-07,2023,3,12213.06
STRAIGHT RYE WHISKIES,2021-09-03,2021,9,12213.03
AMERICAN DISTILLED SPIRITS SPECIALTY,2022-12-22,2022,12,12210.0
IMPORTED DISTILLED SPIRITS SPECIALTY,2023-07-13,2023,7,12206.05
TEMPORARY & SPECIALTY PACKAGES,2023-04-12,2023,4,12202.97
AMERICAN CORDIALS & LIQUEURS,2021-09-23,2021,9,12202.24
SCOTCH WHISKIES,2021-04-09,2021,4,12201.39
STRAIGHT RYE WHISKIES,2022-09-01,2022,9,12200.87
AMERICAN DRY GINS,2023-03-22,2023,3,12197.85
FLAVORED RUM,2021-08-23,2021,8,12183.77
CREAM LIQUEURS,2022-03-04,2022,3,12181.12
IMPORTED FLAVORED VODKA,2021-10-12,2021,10,12178.43
TEMPORARY & SPECIALTY PACKAGES,2023-03-07,2023,3,12171.3
AMERICAN DRY GINS,2023-05-04,2023,5,12170.82
TEMPORARY & SPECIALTY PACKAGES,2021-01-14,2021,1,12169.58
IMPORTED SCHNAPPS,2022-05-23,2022,5,12168.52
NEUTRAL GRAIN SPIRITS FLAVORED,2023-04-26,2023,4,12167.21
NEUTRAL GRAIN SPIRITS FLAVORED,2023-10-12,2023,10,12165.79
NEUTRAL GRAIN SPIRITS FLAVORED,2023-10-25,2023,10,12165.73
AMERICAN CORDIALS & LIQUEURS,2021-08-18,2021,8,12161.12
STRAIGHT RYE WHISKIES,2023-09-12,2023,9,12160.97
SINGLE MALT SCOTCH,2022-04-27,2022,4,12159.64
COFFEE LIQUEURS,2023-09-29,2023,9,12157.88
SINGLE MALT SCOTCH,2023-07-11,2023,7,12154.93
NEUTRAL GRAIN SPIRITS FLAVORED,2023-05-16,2023,5,12154.56
NEUTRAL GRAIN SPIRITS FLAVORED,2023-09-11,2023,9,12149.57
NEUTRAL GRAIN SPIRITS FLAVORED,2023-10-13,2023,10,12146.87
SINGLE MALT SCOTCH,2022-12-13,2022,12,12146.46
AMERICAN CORDIALS & LIQUEURS,2021-03-01,2021,3,12146.11
IMPORTED DRY GINS,2021-07-02,2021,7,12145.64
AMERICAN CORDIALS & LIQUEURS,2023-10-10,2023,10,12143.88
SINGLE BARREL BOURBON WHISKIES,2022-10-19,2022,10,12138.1
SINGLE MALT SCOTCH,2023-06-20,2023,6,12135.43
AMERICAN BRANDIES,2023-01-11,2023,1,12134.26
AMERICAN CORDIALS & LIQUEURS,2023-08-03,2023,8,12132.61
SINGLE MALT SCOTCH,2021-08-17,2021,8,12131.75
IMPORTED SCHNAPPS,2021-03-02,2021,3,12129.77
TEMPORARY & SPECIALTY PACKAGES,2021-01-28,2021,1,12128.1
AMERICAN BRANDIES,2023-08-17,2023,8,12127.53
SINGLE MALT SCOTCH,2022-03-09,2022,3,12127.02
TEMPORARY & SPECIALTY PACKAGES,2023-06-22,2023,6,12126.08
IMPORTED FLAVORED VODKA,2022-03-25,2022,3,12124.91
SINGLE BARREL BOURBON WHISKIES,2023-06-12,2023,6,12123.72
AMERICAN DRY GINS,2022-04-27,2022,4,12123.37
IMPORTED SCHNAPPS,2022-01-04,2022,1,12122.81
IMPORTED DRY GINS,2024-01-30,2024,1,12122.2
AMERICAN FLAVORED VODKA,2021-05-22,2021,5,12121.43
IMPORTED FLAVORED VODKA,2022-05-27,2022,5,12118.19
AMERICAN DRY GINS,2023-07-18,2023,7,12112.4
IMPORTED DRY GINS,2022-06-28,2022,6,12112.14
IMPORTED DRY GINS,2021-11-19,2021,11,12107.14
AMERICAN DRY GINS,2021-03-08,2021,3,12106.49
SINGLE MALT SCOTCH,2023-08-01,2023,8,12106.1
IMPORTED FLAVORED VODKA,2022-11-04,2022,11,12101.27
NEUTRAL GRAIN SPIRITS FLAVORED,2023-07-05,2023,7,12093.2
AMERICAN DRY GINS,2021-09-15,2021,9,12092.85
NEUTRAL GRAIN SPIRITS FLAVORED,2022-12-16,2022,12,12089.7
AMERICAN BRANDIES,2023-09-27,2023,9,12089.22
AMERICAN BRANDIES,2021-09-20,2021,9,12088.72
AMERICAN BRANDIES,2023-03-01,2023,3,12087.23
AMERICAN BRANDIES,2022-03-08,2022,3,12087.1
STRAIGHT RYE WHISKIES,2022-06-22,2022,6,12087.0
AMERICAN BRANDIES,2021-05-17,2021,5,12085.41
AMERICAN DRY GINS,2021-07-23,2021,7,12085.27
IMPORTED FLAVORED VODKA,2022-02-08,2022,2,12084.66
SINGLE BARREL BOURBON WHISKIES,2023-01-03,2023,1,12082.64
COFFEE LIQUEURS,2023-11-22,2023,11,12082.29
SINGLE MALT SCOTCH,2021-03-18,2021,3,12082.12
COFFEE LIQUEURS,2021-04-08,2021,4,12078.48
SINGLE MALT SCOTCH,2023-05-15,2023,5,12076.55
MIXTO TEQUILA,2023-12-10,2023,12,12075.84
NEUTRAL GRAIN SPIRITS FLAVORED,2021-12-10,2021,12,12075.61
SINGLE MALT SCOTCH,2023-02-07,2023,2,12075.47
IMPORTED DRY GINS,2022-05-13,2022,5,12074.36
COFFEE LIQUEURS,2023-11-16,2023,11,12074.3
AMERICAN DRY GINS,2021-09-10,2021,9,12074.25
IMPORTED DRY GINS,2022-05-03,2022,5,12073.32
IMPORTED DRY GINS,2023-09-12,2023,9,12072.05
AMERICAN CORDIALS & LIQUEURS,2022-01-04,2022,1,12071.35
SINGLE MALT SCOTCH,2022-12-01,2022,12,12069.93
NEUTRAL GRAIN SPIRITS FLAVORED,2023-01-09,2023,1,12068.05
COFFEE LIQUEURS,2023-11-21,2023,11,12066.34
NEUTRAL GRAIN SPIRITS FLAVORED,2023-01-16,2023,1,12065.14
IMPORTED VODKAS,2022-02-28,2022,2,12064.6
AMERICAN CORDIALS & LIQUEURS,2022-02-23,2022,2,12063.78
STRAIGHT RYE WHISKIES,2022-11-29,2022,11,12062.73
AMERICAN DRY GINS,2021-02-23,2021,2,12060.69
SINGLE MALT SCOTCH,2022-01-31,2022,1,12060.16
IMPORTED FLAVORED VODKA,2023-11-01,2023,11,12057.26
AMERICAN DRY GINS,2023-09-01,2023,9,12056.63
IMPORTED FLAVORED VODKA,2021-02-23,2021,2,12054.53
TEMPORARY & SPECIALTY PACKAGES,2023-04-07,2023,4,12052.0
AMERICAN CORDIALS & LIQUEURS,2021-06-14,2021,6,12050.72
SINGLE MALT SCOTCH,2023-10-20,2023,10,12050.55
AMERICAN BRANDIES,2023-01-06,2023,1,12048.86
IMPORTED BRANDIES,2021-07-13,2021,7,12041.37
IMPORTED DISTILLED SPIRITS SPECIALTY,2022-04-11,2022,4,12040.91
SCOTCH WHISKIES,2023-02-10,2023,2,12039.83
IMPORTED DRY GINS,2021-12-07,2021,12,12039.43
IMPORTED SCHNAPPS,2023-11-12,2023,11,12036.67
AMERICAN BRANDIES,2023-04-19,2023,4,12030.5
AMERICAN CORDIALS & LIQUEURS,2023-02-08,2023,2,12029.46
SCOTCH WHISKIES,2021-07-19,2021,7,12029.05
AMERICAN FLAVORED VODKA,2023-12-03,2023,12,12026.62
AMERICAN DRY GINS,2021-04-20,2021,4,12026.29
IMPORTED SCHNAPPS,2022-02-28,2022,2,12024.08
BOTTLED IN BOND BOURBON,2024-01-02,2024,1,12022.73
AMERICAN SCHNAPPS,2024-01-19,2024,1,12022.56
STRAIGHT RYE WHISKIES,2021-02-11,2021,2,12019.06
IMPORTED DRY GINS,2023-11-15,2023,11,12016.87
COCKTAILS/RTD,2022-03-04,2022,3,12015.24
IMPORTED DRY GINS,2023-04-25,2023,4,12011.4
IMPORTED FLAVORED VODKA,2021-03-16,2021,3,12011.3
SINGLE MALT SCOTCH,2023-12-15,2023,12,12007.44
IMPORTED SCHNAPPS,2022-08-08,2022,8,12006.22
AMERICAN BRANDIES,2021-04-14,2021,4,12005.54
IMPORTED DISTILLED SPIRITS SPECIALTY,2022-01-17,2022,1,12003.63
IMPORTED FLAVORED VODKA,2023-08-18,2023,8,12001.39
AMERICAN DRY GINS,2022-10-19,2022,10,11999.5
IMPORTED DRY GINS,2022-11-18,2022,11,11997.07
STRAIGHT RYE WHISKIES,2021-05-21,2021,5,11992.03
STRAIGHT RYE WHISKIES,2022-06-24,2022,6,11989.38
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-01-18,2023,1,11988.78
AMERICAN CORDIALS & LIQUEURS,2023-03-30,2023,3,11984.39
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-11-22,2023,11,11981.05
AMERICAN BRANDIES,2021-02-24,2021,2,11980.29
AMERICAN DISTILLED SPIRITS SPECIALTY,2021-10-29,2021,10,11979.92
AMERICAN DRY GINS,2023-11-14,2023,11,11976.05
STRAIGHT RYE WHISKIES,2022-04-29,2022,4,11975.82
STRAIGHT RYE WHISKIES,2022-06-09,2022,6,11973.0
AMERICAN DRY GINS,2021-03-09,2021,3,11970.87
COCKTAILS/RTD,2022-12-17,2022,12,11969.94
IMPORTED DRY GINS,2021-03-09,2021,3,11968.34
IMPORTED SCHNAPPS,2022-01-07,2022,1,11968.25
SINGLE BARREL BOURBON WHISKIES,2022-10-13,2022,10,11967.61
NEUTRAL GRAIN SPIRITS FLAVORED,2023-08-08,2023,8,11967.19
NEUTRAL GRAIN SPIRITS FLAVORED,2023-09-20,2023,9,11966.62
AMERICAN DRY GINS,2021-01-19,2021,1,11963.19
IMPORTED SCHNAPPS,2022-12-16,2022,12,11960.9
SINGLE BARREL BOURBON WHISKIES,2022-02-14,2022,2,11958.36
IMPORTED BRANDIES,2022-04-01,2022,4,11952.2
NEUTRAL GRAIN SPIRITS FLAVORED,2022-10-10,2022,10,11950.98
STRAIGHT RYE WHISKIES,2024-01-09,2024,1,11947.3
AMERICAN CORDIALS & LIQUEURS,2023-12-09,2023,12,11945.16
AMERICAN BRANDIES,2023-05-04,2023,5,11941.28
STRAIGHT RYE WHISKIES,2023-10-26,2023,10,11940.49
AMERICAN CORDIALS & LIQUEURS,2021-01-14,2021,1,11938.38
STRAIGHT RYE WHISKIES,2022-04-22,2022,4,11938.13
STRAIGHT RYE WHISKIES,2021-04-05,2021,4,11937.46
AMERICAN BRANDIES,2023-10-13,2023,10,11936.4
AMERICAN DRY GINS,2023-05-10,2023,5,11934.85
SCOTCH WHISKIES,2023-02-03,2023,2,11928.28
NEUTRAL GRAIN SPIRITS FLAVORED,2022-08-16,2022,8,11926.24
AMERICAN BRANDIES,2021-07-05,2021,7,11925.71
IRISH WHISKIES,2022-02-25,2022,2,11923.93
SINGLE BARREL BOURBON WHISKIES,2024-01-23,2024,1,11923.42
IMPORTED DRY GINS,2023-11-28,2023,11,11921.05
NEUTRAL GRAIN SPIRITS FLAVORED,2022-04-29,2022,4,11919.2
FLAVORED RUM,2021-09-27,2021,9,11917.51
IMPORTED FLAVORED VODKA,2022-07-19,2022,7,11916.71
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-11-29,2023,11,11915.96
COFFEE LIQUEURS,2022-12-02,2022,12,11914.06
SINGLE MALT SCOTCH,2021-10-15,2021,10,11913.66
AMERICAN BRANDIES,2023-09-21,2023,9,11910.9
AMERICAN DRY GINS,2023-10-16,2023,10,11910.8
CREAM LIQUEURS,2023-10-20,2023,10,11905.66
AMERICAN DRY GINS,2023-08-21,2023,8,11903.68
SINGLE MALT SCOTCH,2022-07-05,2022,7,11902.33
NEUTRAL GRAIN SPIRITS FLAVORED,2022-07-25,2022,7,11901.76
STRAIGHT RYE WHISKIES,2023-05-02,2023,5,11900.28
NEUTRAL GRAIN SPIRITS FLAVORED,2022-10-31,2022,10,11898.37
SINGLE MALT SCOTCH,2022-06-03,2022,6,11893.82
SCOTCH WHISKIES,2021-07-06,2021,7,11892.71
IMPORTED DISTILLED SPIRITS SPECIALTY,2022-06-22,2022,6,11889.38
STRAIGHT RYE WHISKIES,2023-02-02,2023,2,11887.64
IMPORTED FLAVORED VODKA,2021-01-22,2021,1,11881.36
AMERICAN CORDIALS & LIQUEURS,2021-02-04,2021,2,11881.15
IMPORTED SCHNAPPS,2022-02-25,2022,2,11880.71
SINGLE MALT SCOTCH,2023-03-16,2023,3,11877.46
AMERICAN DRY GINS,2021-02-25,2021,2,11873.63
AMERICAN BRANDIES,2023-08-30,2023,8,11872.95
AMERICAN DRY GINS,2023-09-29,2023,9,11871.08
AMERICAN DRY GINS,2021-11-11,2021,11,11870.07
IMPORTED FLAVORED VODKA,2022-11-22,2022,11,11868.13
SPECIAL ORDER ITEMS,2021-09-02,2021,9,11866.8
AMERICAN DRY GINS,2024-01-02,2024,1,11864.75
IMPORTED DRY GINS,2021-10-29,2021,10,11862.96
AMERICAN BRANDIES,2023-08-03,2023,8,11853.0
IMPORTED FLAVORED VODKA,2023-01-06,2023,1,11852.57
NEUTRAL GRAIN SPIRITS FLAVORED,2023-07-25,2023,7,11852.54
IMPORTED FLAVORED VODKA,2021-09-11,2021,9,11852.31
IMPORTED FLAVORED VODKA,2023-03-03,2023,3,11850.74
IMPORTED FLAVORED VODKA,2022-04-05,2022,4,11848.81
IMPORTED DRY GINS,2021-10-11,2021,10,11846.81
AMERICAN DRY GINS,2023-08-25,2023,8,11845.14
NEUTRAL GRAIN SPIRITS FLAVORED,2023-10-26,2023,10,11845.04
AMERICAN BRANDIES,2022-06-08,2022,6,11844.55
CREAM LIQUEURS,2023-12-10,2023,12,11843.63
SINGLE MALT SCOTCH,2022-10-28,2022,10,11840.71
IMPORTED DISTILLED SPIRITS SPECIALTY,2021-02-22,2021,2,11837.64
IMPORTED DISTILLED SPIRITS SPECIALTY,2022-02-03,2022,2,11837.5
NEUTRAL GRAIN SPIRITS FLAVORED,2023-05-25,2023,5,11834.83
SCOTCH WHISKIES,2022-03-08,2022,3,11828.05
AMERICAN SCHNAPPS,2022-12-17,2022,12,11827.8
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-11-30,2023,11,11827.49
COFFEE LIQUEURS,2022-11-14,2022,11,11826.97
STRAIGHT RYE WHISKIES,2022-06-27,2022,6,11826.34
CANADIAN WHISKIES,2022-02-26,2022,2,11825.44
IMPORTED DISTILLED SPIRITS SPECIALTY,2022-08-02,2022,8,11825.35
AMERICAN DRY GINS,2021-04-01,2021,4,11824.11
IMPORTED FLAVORED VODKA,2022-09-16,2022,9,11823.78
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-09-01,2023,9,11822.2
IMPORTED FLAVORED VODKA,2023-09-20,2023,9,11816.8
AMERICAN DRY GINS,2021-05-03,2021,5,11816.21
STRAIGHT RYE WHISKIES,2021-03-02,2021,3,11813.68
AMERICAN CORDIALS & LIQUEURS,2021-06-10,2021,6,11807.3
IMPORTED CORDIALS & LIQUEURS,2023-11-19,2023,11,11806.14
IMPORTED DISTILLED SPIRITS SPECIALTY,2023-06-28,2023,6,11804.38
STRAIGHT RYE WHISKIES,2021-04-29,2021,4,11803.72
IMPORTED SCHNAPPS,2021-05-21,2021,5,11799.53
AMERICAN DRY GINS,2021-05-14,2021,5,11798.51
NEUTRAL GRAIN SPIRITS FLAVORED,2023-02-20,2023,2,11797.68
IMPORTED VODKAS,2021-06-12,2021,6,11796.68
AMERICAN DRY GINS,2023-09-07,2023,9,11796.13
IMPORTED DRY GINS,2023-08-11,2023,8,11795.64
AMERICAN BRANDIES,2021-06-01,2021,6,11794.11
IMPORTED SCHNAPPS,2021-06-18,2021,6,11792.98
AMERICAN DRY GINS,2023-11-22,2023,11,11790.1
IMPORTED DRY GINS,2022-08-19,2022,8,11789.54
SINGLE MALT SCOTCH,2021-08-05,2021,8,11788.52
STRAIGHT RYE WHISKIES,2022-10-28,2022,10,11787.88
AMERICAN DRY GINS,2021-07-12,2021,7,11786.75
IMPORTED DRY GINS,2021-12-10,2021,12,11785.94
SINGLE MALT SCOTCH,2023-06-19,2023,6,11783.91
COFFEE LIQUEURS,2023-01-10,2023,1,11781.92
SCOTCH WHISKIES,2023-03-16,2023,3,11781.86
SINGLE MALT SCOTCH,2023-01-27,2023,1,11778.95
SINGLE MALT SCOTCH,2022-07-28,2022,7,11776.94
AMERICAN DRY GINS,2022-08-26,2022,8,11776.52
SINGLE MALT SCOTCH,2023-11-02,2023,11,11775.91
MIXTO TEQUILA,2022-03-01,2022,3,11775.76
IMPORTED SCHNAPPS,2023-09-12,2023,9,11775.56
IMPORTED DRY GINS,2023-06-02,2023,6,11770.28
SINGLE MALT SCOTCH,2021-06-11,2021,6,11768.15
NEUTRAL GRAIN SPIRITS FLAVORED,2022-11-10,2022,11,11767.87
COFFEE LIQUEURS,2021-12-23,2021,12,11766.63
SINGLE BARREL BOURBON WHISKIES,2023-12-14,2023,12,11766.62
SCOTCH WHISKIES,2021-03-19,2021,3,11766.32
AMERICAN DRY GINS,2022-01-20,2022,1,11765.75
AMERICAN DISTILLED SPIRITS SPECIALTY,2022-12-15,2022,12,11765.29
NEUTRAL GRAIN SPIRITS FLAVORED,2022-08-12,2022,8,11764.45
TEMPORARY & SPECIALTY PACKAGES,2023-04-05,2023,4,11761.88
AMERICAN BRANDIES,2024-01-18,2024,1,11760.49
AMERICAN DRY GINS,2023-06-23,2023,6,11760.47
NEUTRAL GRAIN SPIRITS FLAVORED,2022-08-22,2022,8,11759.89
IMPORTED DRY GINS,2022-01-04,2022,1,11759.47
STRAIGHT RYE WHISKIES,2021-03-08,2021,3,11758.96
STRAIGHT RYE WHISKIES,2023-03-02,2023,3,11758.39
IMPORTED BRANDIES,2022-01-14,2022,1,11757.76
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-12-20,2023,12,11757.55
AMERICAN DRY GINS,2022-02-02,2022,2,11757.05
AMERICAN DRY GINS,2023-06-22,2023,6,11754.65
AMERICAN DRY GINS,2023-10-27,2023,10,11754.36
AMERICAN BRANDIES,2021-05-21,2021,5,11754.1
IMPORTED VODKAS,2022-12-17,2022,12,11751.43
NEUTRAL GRAIN SPIRITS FLAVORED,2022-06-15,2022,6,11750.93
FLAVORED RUM,2022-03-01,2022,3,11750.2
TEMPORARY & SPECIALTY PACKAGES,2023-03-09,2023,3,11747.96
NEUTRAL GRAIN SPIRITS FLAVORED,2023-02-07,2023,2,11746.8
NEUTRAL GRAIN SPIRITS FLAVORED,2022-11-22,2022,11,11742.32
STRAIGHT RYE WHISKIES,2024-01-05,2024,1,11741.94
AMERICAN DRY GINS,2024-01-25,2024,1,11741.62
SINGLE MALT SCOTCH,2021-03-26,2021,3,11741.28
AMERICAN DRY GINS,2022-10-24,2022,10,11740.96
STRAIGHT RYE WHISKIES,2021-06-24,2021,6,11740.92
NEUTRAL GRAIN SPIRITS FLAVORED,2023-04-18,2023,4,11739.6
AMERICAN CORDIALS & LIQUEURS,2024-01-11,2024,1,11736.15
TEMPORARY & SPECIALTY PACKAGES,2021-01-04,2021,1,11731.51
AMERICAN BRANDIES,2024-01-19,2024,1,11730.35
TEMPORARY & SPECIALTY PACKAGES,2023-05-11,2023,5,11730.24
IMPORTED DISTILLED SPIRITS SPECIALTY,2021-01-13,2021,1,11729.86
SINGLE BARREL BOURBON WHISKIES,2023-09-05,2023,9,11729.4
MIXTO TEQUILA,2023-11-05,2023,11,11726.68
COFFEE LIQUEURS,2023-01-17,2023,1,11724.79
IMPORTED FLAVORED VODKA,2023-06-16,2023,6,11724.05
TEMPORARY & SPECIALTY PACKAGES,2024-01-11,2024,1,11723.82
FLAVORED RUM,2023-11-05,2023,11,11723.63
FLAVORED RUM,2022-09-15,2022,9,11722.22
SINGLE MALT SCOTCH,2022-11-30,2022,11,11722.12
AMERICAN DRY GINS,2021-10-22,2021,10,11721.99
SPECIAL ORDER ITEMS,2023-02-21,2023,2,11720.7
AMERICAN CORDIALS & LIQUEURS,2021-02-18,2021,2,11715.41
IMPORTED DRY GINS,2024-01-17,2024,1,11711.18
COFFEE LIQUEURS,2023-02-15,2023,2,11709.05
IMPORTED DISTILLED SPIRITS SPECIALTY,2023-12-14,2023,12,11703.01
SINGLE MALT SCOTCH,2022-04-07,2022,4,11702.15
AMERICAN DRY GINS,2023-09-12,2023,9,11701.22
IMPORTED DRY GINS,2023-02-02,2023,2,11700.4
SINGLE MALT SCOTCH,2022-09-02,2022,9,11699.1
WHITE RUM,2022-02-25,2022,2,11693.02
COFFEE LIQUEURS,2023-08-31,2023,8,11691.41
COFFEE LIQUEURS,2021-04-14,2021,4,11691.33
SINGLE MALT SCOTCH,2022-06-14,2022,6,11690.73
SINGLE BARREL BOURBON WHISKIES,2022-11-14,2022,11,11690.28
SINGLE BARREL BOURBON WHISKIES,2023-10-06,2023,10,11689.85
AMERICAN DRY GINS,2021-10-11,2021,10,11687.82
AMERICAN BRANDIES,2022-06-28,2022,6,11687.54
NEUTRAL GRAIN SPIRITS FLAVORED,2023-01-31,2023,1,11683.36
NEUTRAL GRAIN SPIRITS FLAVORED,2023-10-30,2023,10,11681.4
IMPORTED DISTILLED SPIRITS SPECIALTY,2021-02-11,2021,2,11680.9
IMPORTED DISTILLED SPIRITS SPECIALTY,2022-03-14,2022,3,11679.03
COFFEE LIQUEURS,2023-12-22,2023,12,11678.23
NEUTRAL GRAIN SPIRITS FLAVORED,2023-12-06,2023,12,11675.39
AMERICAN SCHNAPPS,2022-02-25,2022,2,11674.96
TEMPORARY & SPECIALTY PACKAGES,2023-03-15,2023,3,11673.67
AMERICAN BRANDIES,2023-08-24,2023,8,11661.96
IMPORTED FLAVORED VODKA,2021-02-05,2021,2,11661.75
IMPORTED DRY GINS,2021-04-30,2021,4,11661.55
TEMPORARY & SPECIALTY PACKAGES,2021-08-11,2021,8,11661.37
AMERICAN DRY GINS,2023-01-19,2023,1,11659.45
IMPORTED BRANDIES,2022-03-09,2022,3,11656.72
IMPORTED DRY GINS,2021-11-29,2021,11,11652.09
IRISH WHISKIES,2021-11-01,2021,11,11650.37
SINGLE BARREL BOURBON WHISKIES,2021-08-27,2021,8,11647.82
IMPORTED FLAVORED VODKA,2022-12-30,2022,12,11645.95
STRAIGHT RYE WHISKIES,2021-08-20,2021,8,11640.27
AMERICAN DRY GINS,2023-08-10,2023,8,11638.68
IRISH WHISKIES,2023-10-22,2023,10,11635.53
SINGLE MALT SCOTCH,2024-01-15,2024,1,11631.95
AMERICAN DRY GINS,2022-09-16,2022,9,11628.71
SCOTCH WHISKIES,2023-03-17,2023,3,11624.92
SINGLE MALT SCOTCH,2021-12-03,2021,12,11624.63
AMERICAN DRY GINS,2023-05-26,2023,5,11623.95
IMPORTED FLAVORED VODKA,2023-02-03,2023,2,11622.79
NEUTRAL GRAIN SPIRITS FLAVORED,2022-06-03,2022,6,11622.0
NEUTRAL GRAIN SPIRITS FLAVORED,2023-09-19,2023,9,11621.06
AMERICAN DRY GINS,2024-01-04,2024,1,11619.88
SCOTCH WHISKIES,2024-01-19,2024,1,11618.31
IMPORTED SCHNAPPS,2024-01-24,2024,1,11617.71
SINGLE MALT SCOTCH,2022-06-06,2022,6,11617.71
IMPORTED DISTILLED SPIRITS SPECIALTY,2022-01-31,2022,1,11615.22
AMERICAN CORDIALS & LIQUEURS,2021-09-28,2021,9,11614.45
AMERICAN DISTILLED SPIRITS SPECIALTY,2022-11-16,2022,11,11613.68
IMPORTED DISTILLED SPIRITS SPECIALTY,2021-12-09,2021,12,11612.79
IMPORTED DRY GINS,2023-03-28,2023,3,11612.41
AMERICAN BRANDIES,2023-05-25,2023,5,11609.81
IMPORTED DISTILLED SPIRITS SPECIALTY,2023-01-05,2023,1,11608.32
STRAIGHT RYE WHISKIES,2023-05-11,2023,5,11606.67
COFFEE LIQUEURS,2023-12-01,2023,12,11606.37
IMPORTED FLAVORED VODKA,2023-12-19,2023,12,11595.24
AMERICAN DRY GINS,2022-01-26,2022,1,11587.82
SINGLE BARREL BOURBON WHISKIES,2021-03-03,2021,3,11586.86
IMPORTED DRY GINS,2022-09-23,2022,9,11585.29
AMERICAN BRANDIES,2023-11-19,2023,11,11584.78
FLAVORED RUM,2024-01-26,2024,1,11580.24
SINGLE MALT SCOTCH,2023-02-09,2023,2,11579.9
NEUTRAL GRAIN SPIRITS FLAVORED,2022-11-03,2022,11,11578.61
STRAIGHT RYE WHISKIES,2022-03-09,2022,3,11577.74
SINGLE BARREL BOURBON WHISKIES,2021-12-29,2021,12,11573.36
TEMPORARY & SPECIALTY PACKAGES,2023-02-22,2023,2,11572.97
AMERICAN DRY GINS,2023-10-23,2023,10,11572.92
STRAIGHT RYE WHISKIES,2023-05-15,2023,5,11571.4
IMPORTED DRY GINS,2022-10-07,2022,10,11569.05
IMPORTED FLAVORED VODKA,2021-04-02,2021,4,11568.93
AMERICAN CORDIALS & LIQUEURS,2023-08-17,2023,8,11563.76
COFFEE LIQUEURS,2021-02-10,2021,2,11562.97
STRAIGHT RYE WHISKIES,2021-04-13,2021,4,11560.45
SINGLE BARREL BOURBON WHISKIES,2022-05-09,2022,5,11560.14
STRAIGHT RYE WHISKIES,2023-08-21,2023,8,11558.04
NEUTRAL GRAIN SPIRITS FLAVORED,2022-08-29,2022,8,11557.95
WHITE RUM,2021-02-16,2021,2,11556.4
AMERICAN CORDIALS & LIQUEURS,2022-02-03,2022,2,11555.14
AMERICAN DRY GINS,2023-05-31,2023,5,11555.05
AMERICAN DRY GINS,2021-02-18,2021,2,11550.6
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-03-03,2023,3,11548.5
AMERICAN DRY GINS,2023-05-15,2023,5,11547.84
AMERICAN CORDIALS & LIQUEURS,2023-07-31,2023,7,11546.63
AMERICAN CORDIALS & LIQUEURS,2021-09-11,2021,9,11545.21
SINGLE MALT SCOTCH,2021-02-11,2021,2,11540.54
SCOTCH WHISKIES,2021-06-11,2021,6,11538.54
MIXTO TEQUILA,2023-11-19,2023,11,11537.78
SINGLE MALT SCOTCH,2022-02-07,2022,2,11536.93
NEUTRAL GRAIN SPIRITS FLAVORED,2024-01-31,2024,1,11532.62
AMERICAN BRANDIES,2023-09-08,2023,9,11532.06
IMPORTED DISTILLED SPIRITS SPECIALTY,2024-01-31,2024,1,11531.7
IMPORTED DISTILLED SPIRITS SPECIALTY,2023-07-20,2023,7,11527.92
NEUTRAL GRAIN SPIRITS FLAVORED,2022-10-17,2022,10,11527.81
COFFEE LIQUEURS,2024-01-17,2024,1,11527.31
AMERICAN CORDIALS & LIQUEURS,2021-08-23,2021,8,11525.52
NEUTRAL GRAIN SPIRITS FLAVORED,2023-11-30,2023,11,11524.82
COFFEE LIQUEURS,2023-12-18,2023,12,11523.77
NEUTRAL GRAIN SPIRITS FLAVORED,2022-07-15,2022,7,11523.23
SINGLE MALT SCOTCH,2024-01-18,2024,1,11522.88
AMERICAN DISTILLED SPIRITS SPECIALTY,2021-05-18,2021,5,11522.74
COFFEE LIQUEURS,2023-06-06,2023,6,11522.35
IMPORTED DISTILLED SPIRITS SPECIALTY,2023-11-24,2023,11,11515.82
NEUTRAL GRAIN SPIRITS FLAVORED,2022-11-04,2022,11,11510.28
IMPORTED DISTILLED SPIRITS SPECIALTY,2022-10-10,2022,10,11510.07
