category_name,date,YEARS,MONTHS,Total_value
AMERICAN VODKAS,2023-10-10,2023,10,294524.73
CANADIAN WHISKIES,2022-12-20,2022,12,294422.14
CANADIAN WHISKIES,2021-05-18,2021,5,294031.27
AMERICAN VODKAS,2023-10-04,2023,10,293997.58
AMERICAN VODKAS,2023-03-03,2023,3,293726.9
AMERICAN VODKAS,2023-10-02,2023,10,293278.03
AMERICAN VODKAS,2021-05-07,2021,5,293177.2
STRAIGHT BOURBON WHISKIES,2023-10-17,2023,10,292813.76
AMERICAN VODKAS,2021-10-12,2021,10,292050.54
AMERICAN VODKAS,2023-03-07,2023,3,292047.8
CANADIAN WHISKIES,2022-02-22,2022,2,291781.6
CANADIAN WHISKIES,2022-12-15,2022,12,291533.35
AMERICAN VODKAS,2023-12-27,2023,12,290851.97
AMERICAN VODKAS,2023-12-07,2023,12,290754.54
AMERICAN VODKAS,2023-02-07,2023,2,290601.56
AMERICAN VODKAS,2022-05-02,2022,5,290556.56
CANADIAN WHISKIES,2023-10-03,2023,10,290301.9
100% AGAVE TEQUILA,2022-10-13,2022,10,290126.13
CANADIAN WHISKIES,2022-02-16,2022,2,289545.1
AMERICAN VODKAS,2021-06-29,2021,6,289377.43
AMERICAN VODKAS,2022-04-04,2022,4,288959.25
CANADIAN WHISKIES,2022-12-12,2022,12,287985.68
CANADIAN WHISKIES,2021-02-23,2021,2,287837.41
CANADIAN WHISKIES,2021-04-21,2021,4,287736.52
SPICED RUM,2023-11-07,2023,11,287332.16
AMERICAN VODKAS,2024-01-05,2024,1,287097.12
AMERICAN VODKAS,2023-07-06,2023,7,286968.47
AMERICAN VODKAS,2023-09-08,2023,9,286721.8
AMERICAN VODKAS,2023-05-26,2023,5,286679.7
AMERICAN VODKAS,2023-07-14,2023,7,286075.12
AMERICAN VODKAS,2022-12-19,2022,12,285921.57
AMERICAN VODKAS,2021-06-03,2021,6,285660.86
AMERICAN VODKAS,2023-06-26,2023,6,285279.11
AMERICAN VODKAS,2023-06-21,2023,6,284661.13
CANADIAN WHISKIES,2023-09-07,2023,9,283631.06
AMERICAN VODKAS,2022-11-25,2022,11,283558.23
AMERICAN VODKAS,2023-11-02,2023,11,283144.25
AMERICAN VODKAS,2023-07-07,2023,7,282559.78
AMERICAN VODKAS,2022-12-05,2022,12,282498.69
AMERICAN VODKAS,2021-08-26,2021,8,282339.18
AMERICAN VODKAS,2023-08-08,2023,8,281782.69
AMERICAN VODKAS,2022-05-09,2022,5,281774.67
AMERICAN VODKAS,2023-06-05,2023,6,281730.3
AMERICAN VODKAS,2021-07-08,2021,7,281667.07
AMERICAN VODKAS,2021-11-09,2021,11,281603.5
CANADIAN WHISKIES,2021-03-03,2021,3,281331.63
AMERICAN VODKAS,2022-05-06,2022,5,280984.33
AMERICAN VODKAS,2022-06-07,2022,6,280545.98
AMERICAN VODKAS,2022-11-11,2022,11,280216.67
AMERICAN VODKAS,2022-08-24,2022,8,280093.74
AMERICAN VODKAS,2022-04-14,2022,4,280066.4
AMERICAN VODKAS,2022-07-29,2022,7,279707.92
AMERICAN VODKAS,2023-09-06,2023,9,279595.12
SPICED RUM,2023-11-02,2023,11,279315.07
AMERICAN VODKAS,2021-11-26,2021,11,278968.54
AMERICAN VODKAS,2023-11-09,2023,11,278956.46
AMERICAN VODKAS,2022-06-20,2022,6,278864.77
AMERICAN VODKAS,2023-07-17,2023,7,278788.65
AMERICAN VODKAS,2023-08-18,2023,8,278693.04
STRAIGHT BOURBON WHISKIES,2023-12-27,2023,12,278665.29
CANADIAN WHISKIES,2023-12-28,2023,12,278588.23
AMERICAN VODKAS,2021-08-11,2021,8,278383.55
AMERICAN VODKAS,2023-08-16,2023,8,278339.96
CANADIAN WHISKIES,2022-07-06,2022,7,277520.29
AMERICAN VODKAS,2021-09-16,2021,9,277230.69
AMERICAN VODKAS,2021-06-21,2021,6,277169.09
AMERICAN VODKAS,2023-03-31,2023,3,275920.36
AMERICAN VODKAS,2023-05-02,2023,5,275713.08
AMERICAN VODKAS,2021-08-10,2021,8,275541.09
AMERICAN VODKAS,2022-11-04,2022,11,275519.77
AMERICAN VODKAS,2022-06-30,2022,6,275425.52
CANADIAN WHISKIES,2022-12-19,2022,12,275237.86
AMERICAN VODKAS,2021-07-21,2021,7,275056.43
CANADIAN WHISKIES,2021-10-06,2021,10,274825.46
CANADIAN WHISKIES,2021-12-17,2021,12,274636.28
CANADIAN WHISKIES,2022-05-05,2022,5,274589.61
AMERICAN VODKAS,2021-11-12,2021,11,274551.79
AMERICAN VODKAS,2021-02-01,2021,2,274335.4
CANADIAN WHISKIES,2023-12-27,2023,12,274220.32
STRAIGHT BOURBON WHISKIES,2022-06-15,2022,6,274104.48
AMERICAN VODKAS,2022-08-23,2022,8,273896.94
AMERICAN VODKAS,2022-09-08,2022,9,273853.84
AMERICAN VODKAS,2022-04-08,2022,4,273690.95
AMERICAN VODKAS,2021-09-07,2021,9,273227.24
AMERICAN VODKAS,2021-12-06,2021,12,273188.6
AMERICAN VODKAS,2023-02-17,2023,2,272696.49
